Date,gWh_RO
2008-01,5087
2008-02,4693
2008-03,4722
2008-04,4336
2008-05,4281
2008-06,4226
2008-07,4452
2008-08,4380
2008-09,4287
2008-10,4544
2008-11,4553
2008-12,4648
2009-01,4697
2009-02,4249
2009-03,4388
2009-04,3750
2009-05,3841
2009-06,3744
2009-07,4039
2009-08,3925
2009-09,3834
2009-10,4208
2009-11,4359
2009-12,4668
2010-01,4802
2010-02,4496
2010-03,4606
2010-04,4032
2010-05,3967
2010-06,3959
2010-07,4203
2010-08,4243
2010-09,3935
2010-10,4471
2010-11,4345
2010-12,4864
2011-01,4972
2011-02,4555
2011-03,4729
2011-04,4225
2011-05,4204
2011-06,4009
2011-07,4144
2011-08,4104
2011-09,4116
2011-10,4316
2011-11,4652
2011-12,4780
2012-01,4848
2012-02,4865
2012-03,4556
2012-04,4154
2012-05,4187
2012-06,4041
2012-07,4258
2012-08,3951
2012-09,3537
2012-10,3938
2012-11,4346
2012-12,4703
2013-01,4339
2013-02,4074
2013-03,4414
2013-04,4154
2013-05,3824
2013-06,3816
2013-07,3805
2013-08,3704
2013-09,3617
2013-10,4017
2013-11,4082
2013-12,4397
2014-01,4558
2014-02,4124
2014-03,4218
2014-04,4024
2014-05,3934
2014-06,3772
2014-07,4050
2014-08,3968
2014-09,3805
2014-10,4191
2014-11,4382
2014-12,4206
2015-01,4471
2015-02,4046
2015-03,4176
2015-04,3837
2015-05,3627
2015-06,3864
2015-07,4268
2015-08,4228
2015-09,4111
2015-10,4466
2015-11,4461
2015-12,4667
2016-01,5004
2016-02,4641
2016-03,5012
2016-04,4881
2016-05,4373
2016-06,4241
2016-07,4462
2016-08,4202
2016-09,4088
2016-10,4433
2016-11,4720
2016-12,5016
2017-01,5217
2017-02,4662
2017-03,4729
2017-04,4299
2017-05,4310
2017-06,4205
2017-07,4462
2017-08,4482
2017-09,4239
2017-10,4602
2017-11,4738
2017-12,4965
2018-01,5103
2018-02,4811
2018-03,5232
2018-04,4240
2018-05,4382
2018-06,4391
2018-07,4485
2018-08,4540
2018-09,4269
2018-10,4614
2018-11,4919
2018-12,5192
2019-01,5295
2019-02,4694
2019-03,4776
2019-04,4431
2019-05,4427
2019-06,4367
2019-07,4587
2019-08,4571
2019-09,4202
2019-10,4543
2019-11,4611
2019-12,4886
2020-01,5102
2020-02,4703
2020-03,4517
2020-04,3742
2020-05,3801
2020-06,4013
2020-07,4492
2020-08,4430
2020-09,4296
2020-10,4544
2020-11,4780
2020-12,5065
2021-01,4785
2021-02,4769
2021-03,5069
2021-04,4606
2021-05,4323
2021-06,4331
2021-07,4785
2021-08,4549
2021-09,4260
2021-10,4614
2021-11,4710
2021-12,5090
2022-01,5041
2022-02,4419
2022-03,4773
2022-04,4171
2022-05,4164
2022-06,4077
2022-07,4398
2022-08,4203
2022-09,3787
2022-10,3992
2022-11,4168
2022-12,4346
2023-01,4417
2023-02,4147
2023-03,4290
2023-04,3964
2023-05,3919
2023-06,3813
2023-07,4174
2023-08,4073
2023-09,3755
2023-10,3930
2023-11,4221
2023-12,4489
2024-01,4661
2024-02,4149
